类型,类型说明,中文名称,技术ID,原始标识,分类,使用用途,调用方式,源版本,目录
image,生图能力,知识卡片,clipmind-image-info-knowledge,info-knowledge,信息知识,科普知识卡,$clipmind-image-info-knowledge,未单独声明,skills/clipmind-image-info-knowledge/
image,生图能力,金句卡,clipmind-image-info-quote,info-quote,信息知识,引用语录卡,$clipmind-image-info-quote,未单独声明,skills/clipmind-image-info-quote/
image,生图能力,公众号封面,clipmind-image-cover-wechat,cover-wechat,封面海报,横版头图,$clipmind-image-cover-wechat,未单独声明,skills/clipmind-image-cover-wechat/
image,生图能力,小红书封面,clipmind-image-cover-xhs,cover-xhs,封面海报,竖版爆款封面,$clipmind-image-cover-xhs,未单独声明,skills/clipmind-image-cover-xhs/
image,生图能力,文字海报,clipmind-image-poster-text,poster-text,封面海报,大字概念海报,$clipmind-image-poster-text,未单独声明,skills/clipmind-image-poster-text/
image,生图能力,短视频封面,clipmind-image-cover-video,cover-video,封面海报,竖版视频封面,$clipmind-image-cover-video,未单独声明,skills/clipmind-image-cover-video/
image,生图能力,节日海报,clipmind-image-poster-festival,poster-festival,封面海报,节日氛围图,$clipmind-image-poster-festival,未单独声明,skills/clipmind-image-poster-festival/
image,生图能力,3D 图标,clipmind-image-icon-3d,icon-3d,插画图标,圆润质感图标,$clipmind-image-icon-3d,未单独声明,skills/clipmind-image-icon-3d/
image,生图能力,Logo 概念,clipmind-image-icon-logo,icon-logo,插画图标,品牌标志草案,$clipmind-image-icon-logo,未单独声明,skills/clipmind-image-icon-logo/
image,生图能力,概念插画,clipmind-image-art-illust,art-illust,插画图标,叙事性插画,$clipmind-image-art-illust,未单独声明,skills/clipmind-image-art-illust/
image,生图能力,漫画分镜,clipmind-image-art-comic,art-comic,插画图标,多格连续漫画,$clipmind-image-art-comic,未单独声明,skills/clipmind-image-art-comic/
image,生图能力,产品场景图,clipmind-image-ecom-scene,ecom-scene,电商带货,生活场景种草,$clipmind-image-ecom-scene,未单独声明,skills/clipmind-image-ecom-scene/
image,生图能力,产品白底图,clipmind-image-ecom-white,ecom-white,电商带货,电商主图可上架,$clipmind-image-ecom-white,未单独声明,skills/clipmind-image-ecom-white/
image,生图能力,美食图,clipmind-image-ecom-food,ecom-food,电商带货,诱人美食摆盘,$clipmind-image-ecom-food,未单独声明,skills/clipmind-image-ecom-food/
image,生图能力,详情长图,clipmind-image-ecom-detail,ecom-detail,电商带货,卖点分段长拼图,$clipmind-image-ecom-detail,未单独声明,skills/clipmind-image-ecom-detail/
prompt,SOP 业务环节,会话标题摘要,clipmind-sop-agent-studio-title-summary,agent_studio/title_summary,Agent 工作台,从当前会话的真实主题和任务中生成简短、可检索且不夸大的中文标题。,$clipmind-sop-agent-studio-title-summary,1.1,skills/clipmind-sop-agent-studio-title-summary/
prompt,SOP 业务环节,语义审查（Agent 工作台）,clipmind-sop-agent-studio-s06-semantic-review,agent_studio/s06_semantic_review,Agent 工作台,审查 Agent 输出是否答对任务、引用真实材料、满足格式契约，并指出风险与修改方向。,$clipmind-sop-agent-studio-s06-semantic-review,vaultai-2026-07-20,skills/clipmind-sop-agent-studio-s06-semantic-review/
prompt,SOP 业务环节,语义精修（Agent 工作台）,clipmind-sop-agent-studio-s06-semantic-refine,agent_studio/s06_semantic_refine,Agent 工作台,在不改变原意和证据边界的前提下，精修 Agent 输出的结构、表达、可读性和行动建议。,$clipmind-sop-agent-studio-s06-semantic-refine,vaultai-2026-07-19,skills/clipmind-sop-agent-studio-s06-semantic-refine/
prompt,SOP 业务环节,IP 发展阶段建议,clipmind-sop-ip-s03-stage-advice,ip/s03_stage_advice,IP 档案与策略,根据已确认档案、内容表现和业务现状判断 IP 所处阶段，并给出阶段目标与下一步建议。,$clipmind-sop-ip-s03-stage-advice,vaultai-2026-06-29,skills/clipmind-sop-ip-s03-stage-advice/
prompt,SOP 业务环节,IP 语言风格提炼,clipmind-sop-ip-s-language-extract,ip/s_language_extract,IP 档案与策略,从真实表达材料中提炼 IP 的语气、句式、常用词、禁用表达和可复用原话示例。,$clipmind-sop-ip-s-language-extract,vaultai-2026-07-03.2,skills/clipmind-sop-ip-s-language-extract/
prompt,SOP 业务环节,建档资料辅助提炼,clipmind-sop-ip-s01-profile-extract-aux,ip/s01_profile_extract_aux,IP 档案与策略,从补充材料中提炼可进入 IP 档案的候选信息，标明来源、置信度、冲突和待确认项。,$clipmind-sop-ip-s01-profile-extract-aux,vaultai-2026-07-09.1,skills/clipmind-sop-ip-s01-profile-extract-aux/
prompt,SOP 业务环节,IP 陪跑简报,clipmind-sop-companion-briefing,companion/briefing,IP 陪跑,把当前 IP 档案、进展、待办、风险和最小下一步整理成操盘手可快速阅读的陪跑简报。,$clipmind-sop-companion-briefing,vaultai-2026-06-21,skills/clipmind-sop-companion-briefing/
prompt,SOP 业务环节,内容质量底线,clipmind-sop-core-s06-quality-floor,core/s06_quality_floor,全局质量底线,所有生产类 skill 共用的内容底线护栏(prepend)。,$clipmind-sop-core-s06-quality-floor,vaultai-2026-06-24,skills/clipmind-sop-core-s06-quality-floor/
prompt,SOP 业务环节,IP 故事表达规范,clipmind-sop-core-s06-ondemand-persona-story,core/s06_ondemand_persona_story,全局质量规范,基于真实经历和证据组织 IP 出场故事、转折与价值主张，不补造履历、结果或人物关系。,$clipmind-sop-core-s06-ondemand-persona-story,vaultai-2026-06-27,skills/clipmind-sop-core-s06-ondemand-persona-story/
prompt,SOP 业务环节,低成本下一步交付,clipmind-sop-core-s06-ondemand-low-effort-handoff,core/s06_ondemand_low_effort_handoff,全局质量规范,把复杂建议收束成用户现在就能执行的最小下一步，并说明所需材料与人工确认点。,$clipmind-sop-core-s06-ondemand-low-effort-handoff,未单独声明,skills/clipmind-sop-core-s06-ondemand-low-effort-handoff/
prompt,SOP 业务环节,完整交付物规范,clipmind-sop-core-s06-ondemand-deliverable,core/s06_ondemand_deliverable,全局质量规范,检查最终交付物是否覆盖任务目标、实际输入、完整正文、证据缺口、风险和人工确认点。,$clipmind-sop-core-s06-ondemand-deliverable,未单独声明,skills/clipmind-sop-core-s06-ondemand-deliverable/
prompt,SOP 业务环节,对话格式规范,clipmind-sop-core-s06-ondemand-chat-format,core/s06_ondemand_chat_format,全局质量规范,把按需回答约束成清楚、直接、可继续沟通的对话结构，避免堆砌内部字段和任务面板语。,$clipmind-sop-core-s06-ondemand-chat-format,vaultai-2026-06-27,skills/clipmind-sop-core-s06-ondemand-chat-format/
prompt,SOP 业务环节,用户触达评分规范,clipmind-sop-core-s06-ondemand-touch-score,core/s06_ondemand_touch_score,全局质量规范,从用户共鸣、信任推进、价值感知和行动触发四个方向评估内容的真实触达能力。,$clipmind-sop-core-s06-ondemand-touch-score,未单独声明,skills/clipmind-sop-core-s06-ondemand-touch-score/
prompt,SOP 业务环节,用户语言一致性检查,clipmind-sop-core-s06-ondemand-language-gate,core/s06_ondemand_language_gate,全局质量规范,检查回答是否沿用用户的语言、专业程度和关键术语，避免突然切换腔调或误解表达。,$clipmind-sop-core-s06-ondemand-language-gate,vaultai-2026-06-27,skills/clipmind-sop-core-s06-ondemand-language-gate/
prompt,SOP 业务环节,结构化输出规范,clipmind-sop-core-s06-ondemand-structured-output,core/s06_ondemand_structured_output,全局质量规范,要求结果严格服从指定字段、类型和格式，避免多余解释、无效 JSON 与缺失必填项。,$clipmind-sop-core-s06-ondemand-structured-output,未单独声明,skills/clipmind-sop-core-s06-ondemand-structured-output/
prompt,SOP 业务环节,脚本生成规范,clipmind-sop-core-s06-ondemand-script-rules,core/s06_ondemand_script_rules,全局质量规范,约束脚本的开头钩子、内容推进、口语表达、证据使用、画面建议和人工审稿边界。,$clipmind-sop-core-s06-ondemand-script-rules,未单独声明,skills/clipmind-sop-core-s06-ondemand-script-rules/
prompt,SOP 业务环节,内容审稿,clipmind-sop-production-s06-6-review,production/s06_6_review,内容生产,"检查事实支撑、IP 一致性与内容风险,给修改意见。",$clipmind-sop-production-s06-6-review,vaultai-2026-07-03.2,skills/clipmind-sop-production-s06-6-review/
prompt,SOP 业务环节,定位匹配,clipmind-sop-production-s06-3-match-positioning,production/s06_3_match_positioning,内容生产,判断内容是否服务当前 IP 和用户行动理由。,$clipmind-sop-production-s06-3-match-positioning,vaultai-2026-07-03.2,skills/clipmind-sop-production-s06-3-match-positioning/
prompt,SOP 业务环节,情绪匹配,clipmind-sop-production-s06-4-match-emotion,production/s06_4_match_emotion,内容生产,"把用户关注点转成安全表达,避免焦虑放大和虚假承诺。",$clipmind-sop-production-s06-4-match-emotion,vaultai-2026-07-03.2,skills/clipmind-sop-production-s06-4-match-emotion/
prompt,SOP 业务环节,拍摄脚本生成,clipmind-sop-production-s06-5-script,production/s06_5_script,内容生产,"用爆款结构+平台表达产出脚本,保留人工审稿。",$clipmind-sop-production-s06-5-script,vaultai-2026-07-03.2,skills/clipmind-sop-production-s06-5-script/
prompt,SOP 业务环节,补拍建议,clipmind-sop-production-s06-7-reshoot,production/s06_7_reshoot,内容生产,说明证据缺口、平台表达补强和风险调整。,$clipmind-sop-production-s06-7-reshoot,vaultai-2026-07-03.2,skills/clipmind-sop-production-s06-7-reshoot/
prompt,SOP 业务环节,内容策略建议,clipmind-sop-ip-s03-strategy-suggestion,ip/s03_strategy_suggestion,内容策略,"承接当前 IP 定位、购买/信任理由与风险边界,给本轮策略。",$clipmind-sop-ip-s03-strategy-suggestion,vaultai-2026-07-03.2,skills/clipmind-sop-ip-s03-strategy-suggestion/
prompt,SOP 业务环节,内容计划建议,clipmind-sop-ip-s04-content-plan-suggestion,ip/s04_content_plan_suggestion,内容计划,"结合 IP、平台方向与来源证据,产出阶段计划而非泛化周计划。",$clipmind-sop-ip-s04-content-plan-suggestion,vaultai-2026-07-16,skills/clipmind-sop-ip-s04-content-plan-suggestion/
prompt,SOP 业务环节,单条选题建议,clipmind-sop-ip-s04-content-topic-suggestion,ip/s04_content_topic_suggestion,内容计划,基于当前编辑阶段生成类型稳定、不重复且等待人工保存的一条选题候选。,$clipmind-sop-ip-s04-content-topic-suggestion,vaultai-2026-07-16,skills/clipmind-sop-ip-s04-content-topic-suggestion/
prompt,SOP 业务环节,复盘总结,clipmind-sop-retrospect-s09-summary,retrospect/s09_summary,复盘,"区分事实/假设/待补数据,形成下周期学习。",$clipmind-sop-retrospect-s09-summary,vaultai-2026-07-03.2,skills/clipmind-sop-retrospect-s09-summary/
prompt,SOP 业务环节,IP 8 维度拆解,clipmind-sop-ip-s01-5-ip-breakdown,ip/s01_5_ip_breakdown,客户建档,按经历/结果/代价/判断/方法/案例/性格/稀缺性拆解 IP 内容素材。,$clipmind-sop-ip-s01-5-ip-breakdown,vaultai-2026-07-03.2,skills/clipmind-sop-ip-s01-5-ip-breakdown/
prompt,SOP 业务环节,业务诊断,clipmind-sop-ip-s02-diagnosis,ip/s02_diagnosis,客户建档,"拆解业务阶段/核心卡点/定位三问/产品阶梯,基于资料原文证据。",$clipmind-sop-ip-s02-diagnosis,vaultai-2026-07-03.2,skills/clipmind-sop-ip-s02-diagnosis/
prompt,SOP 业务环节,建档资料提炼,clipmind-sop-ip-s01-profile-extract,ip/s01_profile_extract,客户建档,"把建档资料作为证据包,提炼 8 个核心档案维度的字段级建议(终点身份铁律)。",$clipmind-sop-ip-s01-profile-extract,vaultai-2026-07-09.3,skills/clipmind-sop-ip-s01-profile-extract/
prompt,SOP 业务环节,档案草稿生成,clipmind-sop-ip-s01-profile-draft,ip/s01_profile_draft,客户建档,"基于真实资料生成贴合当前 IP 的档案草稿,保留人工确认边界。",$clipmind-sop-ip-s01-profile-draft,vaultai-2026-07-09.3,skills/clipmind-sop-ip-s01-profile-draft/
prompt,SOP 业务环节,发布建议,clipmind-sop-launch-s07-publish-suggestion,launch/s07_publish_suggestion,投放,"适配平台、承接转化理由,不自动发布、不违规承诺。",$clipmind-sop-launch-s07-publish-suggestion,vaultai-2026-07-03.2,skills/clipmind-sop-launch-s07-publish-suggestion/
prompt,SOP 业务环节,监控分析,clipmind-sop-feedback-s07-monitor-analysis,feedback/s07_monitor_analysis,数据反馈,"基于真实信号与平台表现分析,无数据时不断言无异常。",$clipmind-sop-feedback-s07-monitor-analysis,vaultai-2026-07-03,skills/clipmind-sop-feedback-s07-monitor-analysis/
prompt,SOP 业务环节,方法提炼,clipmind-sop-method-s09-method-extract,method/s09_method_extract,方法库,"判断爆款结构与复盘学习,沉淀方法候选(不自动入库)。",$clipmind-sop-method-s09-method-extract,vaultai-2026-07-03.2,skills/clipmind-sop-method-s09-method-extract/
prompt,SOP 业务环节,视频底层逻辑提炼,clipmind-sop-method-s10-method-underlying-logic,method/s10_method_underlying_logic,方法库,"提炼爆款的原理层(为什么爆),所有依据来自已有拆解证据。",$clipmind-sop-method-s10-method-underlying-logic,vaultai-2026-05-25,skills/clipmind-sop-method-s10-method-underlying-logic/
prompt,SOP 业务环节,爆款视频拆解,clipmind-sop-method-s09-2-video-breakdown,method/s09_2_video_breakdown,爆款方法库,基于视频、字幕或人工摘要拆解开头、结构、情绪、镜头、证据和转化收口，并标出不可照搬处。,$clipmind-sop-method-s09-2-video-breakdown,vaultai-2026-07-03.2,skills/clipmind-sop-method-s09-2-video-breakdown/
prompt,SOP 业务环节,观点提炼,clipmind-sop-viewpoint-s06-2-extract,viewpoint/s06_2_extract,素材观点,"区分事实、弱证据和边界风险,不把素材猜测当结论。",$clipmind-sop-viewpoint-s06-2-extract,vaultai-2026-07-03,skills/clipmind-sop-viewpoint-s06-2-extract/
prompt,SOP 业务环节,观点收集,clipmind-sop-viewpoint-s06-1-collect,viewpoint/s06_1_collect,素材观点,"判断素材来源是否可用,并保持与当前 IP 主题一致。",$clipmind-sop-viewpoint-s06-1-collect,vaultai-2026-07-03,skills/clipmind-sop-viewpoint-s06-1-collect/
prompt,SOP 业务环节,认知内容精修,clipmind-sop-visual-cognition-refine,visual/cognition_refine,视觉内容,精修认知内容的判断链、表达节奏、证据引用和自然度，保留 IP 原有观点与事实边界。,$clipmind-sop-visual-cognition-refine,vaultai-2026-06-28,skills/clipmind-sop-visual-cognition-refine/
prompt,SOP 业务环节,认知海报生成,clipmind-sop-visual-cognition-poster,visual/cognition_poster,视觉内容,把认知主题整理成海报标题、核心观点、证据文案、层级结构和可交给生图能力的视觉说明。,$clipmind-sop-visual-cognition-poster,vaultai-2026-06-28,skills/clipmind-sop-visual-cognition-poster/
prompt,SOP 业务环节,认知观点提炼,clipmind-sop-visual-cognition-viewpoints,visual/cognition_viewpoints,视觉内容,从认知内容和原始材料中提炼核心观点、支撑证据、可引用金句及需要人工核实的判断。,$clipmind-sop-visual-cognition-viewpoints,vaultai-2026-06-28e,skills/clipmind-sop-visual-cognition-viewpoints/
prompt,SOP 业务环节,认知视觉调整,clipmind-sop-visual-cognition-visual-adjust,visual/cognition_visual_adjust,视觉内容,根据内容重点和目标平台调整版式、信息层级、颜色、字体、留白与视觉强调建议。,$clipmind-sop-visual-cognition-visual-adjust,vaultai-2026-06-28,skills/clipmind-sop-visual-cognition-visual-adjust/
